*******************************************************************************
 Revised: April 12, 2021                Venus                           299 / 2
 
 PHYSICAL DATA (updated 2020-Oct-19):
  Vol. Mean Radius (km) =  6051.84+-0.01 Density (g/cm^3)      =  5.204
  Mass x10^23 (kg)      =    48.685      Volume (x10^10 km^3)  = 92.843
  Sidereal rot. period  =   243.018484 d Sid. Rot. Rate (rad/s)= -0.00000029924
  Mean solar day        =   116.7490 d   Equ. gravity  m/s^2   =  8.870
  Mom. of Inertia       =     0.33       Core radius (km)      = ~3200
  Geometric Albedo      =     0.65       Potential Love # k2   = ~0.25
  GM (km^3/s^2)         = 324858.592     Equatorial Radius, Re = 6051.893 km
  GM 1-sigma (km^3/s^2) =    +-0.006     Mass ratio (Sun/Venus)= 408523.72
  Atmos. pressure (bar) =  90            Max. angular diam.    =   60.2"
  Mean Temperature (K)  = 735            Visual mag. V(1,0)    =   -4.40
  Obliquity to orbit    = 177.3 deg      Hill's sphere rad.,Rp =  167.1
  Sidereal orb. per., y =   0.61519726   Orbit speed, km/s     =   35.021
  Sidereal orb. per., d = 224.70079922   Escape speed, km/s    =   10.361
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         2759         2614       2650
  Maximum Planetary IR (W/m^2)    153         153         153
  Minimum Planetary IR (W/m^2)    153         153         153
*******************************************************************************


*******************************************************************************
Ephemeris / API_USER Wed Sep  9 03:29:53 2026 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Venus (299)                     {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2025-Jan-01 12:00:00.0000 UT      
Stop  time      : A.D. 2025-Dec-31 12:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : IAU_VENUS                       {East-longitude positive}
Target radii    : 6051.8, 6051.8, 6051.8 km       {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6378.137             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
Calendar mode   : Gregorian
EOP file        : eop.260908.p261205                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-SEP-08. PREDICTS-> 2026-DEC-04
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*********************************************************************************************************
 Date__(UT)__HR:MN:SC.fff, Date_________JDUT, , ,            delta,     deldot,     ObsEcLon,   ObsEcLat,
*********************************************************************************************************
$$SOE
 2025-Jan-01 12:00:00.000, 2460677.000000000, , , 0.74721339394307,-12.7657592,  328.2482956, -1.3704102,
 2025-Jan-02 12:00:00.000, 2460678.000000000, , , 0.73983583177344,-12.7790196,  329.3169353, -1.2988432,
 2025-Jan-03 12:00:00.000, 2460679.000000000, , , 0.73245081393638,-12.7915459,  330.3804028, -1.2248103,
 2025-Jan-04 12:00:00.000, 2460680.000000000, , , 0.72505881091245,-12.8031746,  331.4384928, -1.1483039,
 2025-Jan-05 12:00:00.000, 2460681.000000000, , , 0.71766039183892,-12.8137293,  332.4909949, -1.0693170,
 2025-Jan-06 12:00:00.000, 2460682.000000000, , , 0.71025622894608,-12.8230310,  333.5376941, -0.9878438,
 2025-Jan-07 12:00:00.000, 2460683.000000000, , , 0.70284709621483,-12.8309080,  334.5783695, -0.9038789,
 2025-Jan-08 12:00:00.000, 2460684.000000000, , , 0.69543386265918,-12.8372044,  335.6127936, -0.8174175,
 2025-Jan-09 12:00:00.000, 2460685.000000000, , , 0.68801748070019,-12.8417886,  336.6407315, -0.7284551,
 2025-Jan-10 12:00:00.000, 2460686.000000000, , , 0.68059897010875,-12.8445601,  337.6619403, -0.6369874,
 2025-Jan-11 12:00:00.000, 2460687.000000000, , , 0.67317939836650,-12.8454547,  338.6761700, -0.5430104,
 2025-Jan-12 12:00:00.000, 2460688.000000000, , , 0.66575985913788,-12.8444458,  339.6831647, -0.4465198,
 2025-Jan-13 12:00:00.000, 2460689.000000000, , , 0.65834145151621,-12.8415401,  340.6826647, -0.3475116,
 2025-Jan-14 12:00:00.000, 2460690.000000000, , , 0.65092526315181,-12.8367686,  341.6744071, -0.2459815,
 2025-Jan-15 12:00:00.000, 2460691.000000000, , , 0.64351235979255,-12.8301740,  342.6581258, -0.1419256,
 2025-Jan-16 12:00:00.000, 2460692.000000000, , , 0.63610378225188,-12.8217980,  343.6335500, -0.0353401,
 2025-Jan-17 12:00:00.000, 2460693.000000000, , , 0.62870055002211,-12.8116713,  344.6004018,  0.0737781,
 2025-Jan-18 12:00:00.000, 2460694.000000000, , , 0.62130366944289,-12.7998082,  345.5583930,  0.1854319,
 2025-Jan-19 12:00:00.000, 2460695.000000000, , , 0.61391414390375,-12.7862048,  346.5072226,  0.2996233,
 2025-Jan-20 12:00:00.000, 2460696.000000000, , , 0.60653298390288,-12.7708409,  347.4465754,  0.4163536,
 2025-Jan-21 12:00:00.000, 2460697.000000000, , , 0.59916121552921,-12.7536833,  348.3761198,  0.5356229,
 2025-Jan-22 12:00:00.000, 2460698.000000000, , , 0.59179988673607,-12.7346901,  349.2955072,  0.6574306,
 2025-Jan-23 12:00:00.000, 2460699.000000000, , , 0.58445007146432,-12.7138138,  350.2043709,  0.7817749,
 2025-Jan-24 12:00:00.000, 2460700.000000000, , , 0.57711287223759,-12.6910031,  351.1023241,  0.9086526,
 2025-Jan-25 12:00:00.000, 2460701.000000000, , , 0.56978942236466,-12.6662023,  351.9889592,  1.0380594,
 2025-Jan-26 12:00:00.000, 2460702.000000000, , , 0.56248088938210,-12.6393476,  352.8638450,  1.1699891,
