*******************************************************************************
 Revised: April 12, 2021               Jupiter                              599
 
 PHYSICAL DATA (revised 2025-Jan-30):
  Mass x 10^26 (kg)     = 18.9819           Density (g/cm^3)  = 1.3262 +- .0003
  Equat. radius (1 bar) = 71492+-4 km       Polar radius (km)     = 66854+-10
  Vol. Mean Radius (km) = 69911+-6          Flattening            = 0.06487
  Geometric Albedo      = 0.52              Rocky core mass (Mc/M)= 0.0261
  Sid. rot. period (III)= 9h 55m 29.711 s   Sid. rot. rate (rad/s)= 0.00017585
  Mean solar day, hrs   = ~9.9259         
  GM (km^3/s^2)         = 126686531.900     GM 1-sigma (km^3/s^2) =  +- 1.2732
  Equ. grav, ge (m/s^2) = 24.79             Pol. grav, gp (m/s^2) =  28.34
  Vis. magnitude V(1,0) = -9.40
  Vis. mag. (opposition)= -2.70             Obliquity to orbit    =  3.13 deg
  Sidereal orbit period = 11.861982204 y    Sidereal orbit period = 4332.589 d
  Mean daily motion     = 0.0831294 deg/d   Mean orbit speed, km/s= 13.0697
  Atmos. temp. (1 bar)  = 165+-5 K          Escape speed, km/s    =  59.5           
  A_roche(ice)/Rp       =  2.76             Hill's sphere rad. Rp = 740
                                 Perihelion   Aphelion     Mean
  Solar Constant (W/m^2)         56           46           51
  Maximum Planetary IR (W/m^2)   13.7         13.4         13.6
  Minimum Planetary IR (W/m^2)   13.7         13.4         13.6
*******************************************************************************


*******************************************************************************
Ephemeris / API_USER Wed Sep  9 03:29:56 2026 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup365_merged}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1900-Jan-01 12:00:00.0000 UT      
Stop  time      : A.D. 2099-Dec-31 12:00:00.0000 UT      
Step-size       : 129600 minutes
*******************************************************************************
Target pole/equ : IAU_JUPITER                     {West-longitude positive}
Target radii    : 71492.0, 71492.0, 66854.0 km    {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6378.137             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: jup365_merged}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
Calendar mode   : Gregorian
EOP file        : eop.260908.p261205                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-SEP-08. PREDICTS-> 2026-DEC-04
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*********************************************************************************************************
 Date__(UT)__HR:MN:SC.fff, Date_________JDUT, , ,            delta,     deldot,     ObsEcLon,   ObsEcLat,
*********************************************************************************************************
$$SOE
 1900-Jan-01 12:00:00.000, 2415021.000000000, , , 6.10782601917143,-18.2099372,  241.2335461,  0.8144197,
 1900-Apr-01 12:00:00.000, 2415111.000000000, , , 4.78430580365070,-24.3694870,  250.8356484,  0.9005748,
 1900-Jun-30 12:00:00.000, 2415201.000000000, , , 4.47849825117259, 15.2440128,  242.2310988,  0.7985109,
 1900-Sep-28 12:00:00.000, 2415291.000000000, , , 5.71283473140213, 23.1786896,  246.2606142,  0.4878742,
 1900-Dec-27 12:00:00.000, 2415381.000000000, , , 6.24000469096170, -5.6849055,  264.9430840,  0.3130325,
 1901-Mar-27 12:00:00.000, 2415471.000000000, , , 5.23801695101311,-27.8262118,  281.2639626,  0.2076089,
 1901-Jun-25 12:00:00.000, 2415561.000000000, , , 4.19871982825327, -3.3118688,  278.8370977,  0.0485872,
 1901-Sep-23 12:00:00.000, 2415651.000000000, , , 5.00503618486457, 26.4825189,  274.0937455, -0.1364296,
 1901-Dec-22 12:00:00.000, 2415741.000000000, , , 6.06415296555176,  8.4185770,  289.2043590, -0.2569317,
 1902-Mar-22 12:00:00.000, 2415831.000000000, , , 5.67221490291638,-21.6850638,  309.2938524, -0.4240754,
 1902-Jun-20 12:00:00.000, 2415921.000000000, , , 4.35530742615184,-20.6407897,  316.9316841, -0.7369374,
 1902-Sep-18 12:00:00.000, 2416011.000000000, , , 4.31408341391289, 19.4607342,  307.8320293, -0.9170023,
 1902-Dec-17 12:00:00.000, 2416101.000000000, , , 5.59322141538080, 20.8311835,  315.3946089, -0.8275551,
 1903-Mar-17 12:00:00.000, 2416191.000000000, , , 5.93148880445940, -9.1340374,  335.9944105, -0.8788828,
 1903-Jun-15 12:00:00.000, 2416281.000000000, , , 4.86113843834863,-26.8546228,  352.0095063, -1.1721994,
 1903-Sep-13 12:00:00.000, 2416371.000000000, , , 3.96593901462126,  0.8403585,  348.1445077, -1.5317470,
 1903-Dec-12 12:00:00.000, 2416461.000000000, , , 4.93244369068828, 27.2783375,  345.2010403, -1.2837580,
 1904-Mar-11 12:00:00.000, 2416551.000000000, , , 5.92135901155240,  6.0254924,    2.4668102, -1.0916620,
 1904-Jun-09 12:00:00.000, 2416641.000000000, , , 5.45757343001167,-21.6981479,   22.8192258, -1.1853356,
 1904-Sep-07 12:00:00.000, 2416731.000000000, , , 4.19345655480706,-18.6095626,   29.6627579, -1.5135343,
 1904-Dec-06 12:00:00.000, 2416821.000000000, , , 4.31342782814126, 22.4642053,   20.3929549, -1.4142227,
 1905-Mar-06 12:00:00.000, 2416911.000000000, , , 5.63282741027015, 19.7073578,   29.7406131, -1.0177975,
 1905-Jun-04 12:00:00.000, 2417001.000000000, , , 5.91007328545186, -9.7136806,   50.4371223, -0.8889937,
 1905-Sep-02 12:00:00.000, 2417091.000000000, , , 4.84223076670419,-26.3104683,   65.6209930, -0.9651461,
 1905-Dec-01 12:00:00.000, 2417181.000000000, , , 4.05544878946847,  4.6887878,   60.4538823, -0.9875259,
 1906-Mar-01 12:00:00.000, 2417271.000000000, , , 5.15585308668938, 27.5087749,   58.9084519, -0.6324732,
 1906-May-30 12:00:00.000, 2417361.000000000, , , 6.08988250701925,  4.5912221,   76.2364398, -0.4032724,
