*******************************************************************************
 Revised: June 02, 2025                 Mars                            499 / 4
 
 PHYSICAL DATA (updated 2025-Jun-02):
  Vol. mean radius (km) = 3389.92+-0.04   Density (g/cm^3)      =  3.933(5+-4)
  Mass x10^23 (kg)      =    6.4171       Flattening, f         =  1/169.779
  Volume (x10^10 km^3)  =   16.318        Equatorial radius (km)=  3396.19
  Sidereal rot. period  =   24.622962 hr  Sid. rot. rate, rad/s =  0.0000708822 
  Mean solar day (sol)  =   88775.24415 s Polar gravity m/s^2   =  3.758
  Core radius (km)      = ~1700           Equ. gravity  m/s^2   =  3.71
  Geometric Albedo      =    0.150                                              

  GM (km^3/s^2)         = 42828.375662    Mass ratio (Sun/Mars) = 3098703.59
  GM 1-sigma (km^3/s^2) = +- 0.00028      Mass of atmosphere, kg= ~ 2.5 x 10^16
  Mean temperature (K)  =  210            Atmos. pressure (bar) =    0.0056 
  Obliquity to orbit    =   25.19 deg     Max. angular diam.    =  17.9"
  Mean sidereal orb per =    1.88081578 y Visual mag. V(1,0)    =  -1.52
  Mean sidereal orb per =  686.98 d       Orbital speed,  km/s  =  24.13
  Hill's sphere rad. Rp =  319.8          Escape speed, km/s    =   5.027
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         717         493         589
  Maximum Planetary IR (W/m^2)   470         315         390
  Minimum Planetary IR (W/m^2)    30          30          30
*******************************************************************************


*******************************************************************************
Ephemeris / API_USER Wed Sep  9 03:29:54 2026 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mars (499)                      {source: mar099}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1900-Jan-01 12:00:00.0000 UT      
Stop  time      : A.D. 2099-Dec-31 12:00:00.0000 UT      
Step-size       : 129600 minutes
*******************************************************************************
Target pole/equ : IAU_MARS                        {West-longitude positive}
Target radii    : 3396.19, 3396.19, 3376.2 km     {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6378.137             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
Calendar mode   : Gregorian
EOP file        : eop.260908.p261205                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-SEP-08. PREDICTS-> 2026-DEC-04
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*********************************************************************************************************
 Date__(UT)__HR:MN:SC.fff, Date_________JDUT, , ,            delta,     deldot,     ObsEcLon,   ObsEcLat,
*********************************************************************************************************
$$SOE
 1900-Jan-01 12:00:00.000, 2415021.000000000, , , 2.40070817201686, -0.8923750,  284.2529683, -0.9282320,
 1900-Apr-01 12:00:00.000, 2415111.000000000, , , 2.31182976182401, -2.2158061,  354.8060286, -1.0098100,
 1900-Jun-30 12:00:00.000, 2415201.000000000, , , 2.14411991766868, -4.9638400,   62.2075370, -0.2372036,
 1900-Sep-28 12:00:00.000, 2415291.000000000, , , 1.72109688958586,-11.7524990,  121.0289094,  1.0153779,
 1900-Dec-27 12:00:00.000, 2415381.000000000, , , 0.97767442431046,-14.6178721,  160.9017247,  3.0647616,
 1901-Mar-27 12:00:00.000, 2415471.000000000, , , 0.78416745084638, 10.3897864,  143.4443657,  3.4405276,
 1901-Jun-25 12:00:00.000, 2415561.000000000, , , 1.48686213293611, 12.9095972,  170.0013500,  0.6977543,
 1901-Sep-23 12:00:00.000, 2415651.000000000, , , 2.00623336164087,  7.0234767,  225.2568867, -0.5845142,
 1901-Dec-22 12:00:00.000, 2415741.000000000, , , 2.25875406793439,  3.2691473,  291.7904769, -1.1182881,
 1902-Mar-22 12:00:00.000, 2415831.000000000, , , 2.39286722795951,  1.9235823,    2.5706102, -0.7648672,
 1902-Jun-20 12:00:00.000, 2415921.000000000, , , 2.41528462687063, -1.8060741,   69.2102071,  0.1511715,
 1902-Sep-18 12:00:00.000, 2416011.000000000, , , 2.12845297706110, -9.7241131,  128.7010449,  1.1135965,
 1902-Dec-17 12:00:00.000, 2416101.000000000, , , 1.41302857508798,-16.7959966,  178.7982028,  2.1715938,
 1903-Mar-17 12:00:00.000, 2416191.000000000, , , 0.66721410995657, -6.0588453,  191.7397742,  3.3229750,
 1903-Jun-15 12:00:00.000, 2416281.000000000, , , 0.99916378236963, 12.0893079,  184.6760025,  0.2262752,
 1903-Sep-13 12:00:00.000, 2416371.000000000, , , 1.56279747255492,  9.0665262,  233.8286876, -1.1865418,
 1903-Dec-12 12:00:00.000, 2416461.000000000, , , 1.96889219378527,  7.0716308,  300.0670127, -1.2830413,
 1904-Mar-11 12:00:00.000, 2416551.000000000, , , 2.31939717558103,  6.1944266,   10.2463845, -0.4790560,
 1904-Jun-09 12:00:00.000, 2416641.000000000, , , 2.54799264572457,  1.8201763,   75.6052220,  0.4724406,
 1904-Sep-07 12:00:00.000, 2416731.000000000, , , 2.43146475120395, -6.8251706,  134.9241910,  1.1547396,
 1904-Dec-06 12:00:00.000, 2416821.000000000, , , 1.83015690045356,-15.7598601,  189.3635018,  1.5995216,
 1905-Mar-06 12:00:00.000, 2416911.000000000, , , 0.93850652577003,-16.2411909,  231.0861442,  1.6799644,
 1905-Jun-04 12:00:00.000, 2417001.000000000, , , 0.56561834644761,  5.0759672,  219.4533143, -1.0678605,
 1905-Sep-02 12:00:00.000, 2417091.000000000, , , 1.03494286259006,  9.9337626,  246.7695537, -2.2602326,
 1905-Dec-01 12:00:00.000, 2417181.000000000, , , 1.55287504059068, 10.3223112,  310.0783586, -1.4306657,
 1906-Mar-01 12:00:00.000, 2417271.000000000, , , 2.10405403202891, 10.3335301,   18.2857544, -0.1277466,
 1906-May-30 12:00:00.000, 2417361.000000000, , , 2.54243018631423,  5.6452334,   81.7470034,  0.7615982,
