*******************************************************************************
 Revised: April 12, 2021             Mercury                            199 / 1

 PHYSICAL DATA (updated 2024-Mar-04):
  Vol. Mean Radius (km) =  2439.4+-0.1    Density (g cm^-3)     = 5.427
  Mass x10^23 (kg)      =     3.302       Volume (x10^10 km^3)  = 6.085  
  Sidereal rot. period  =    58.6463 d    Sid. rot. rate (rad/s)= 0.00000124001
  Mean solar day        =   175.9421 d    Core radius (km)      = ~1600 
  Geometric Albedo      =     0.106       Surface emissivity    = 0.77+-0.06
  GM (km^3/s^2)         = 22031.86855     Equatorial radius, Re = 2440.53 km
  GM 1-sigma (km^3/s^2) =                 Mass ratio (Sun/plnt) = 6023682
  Mom. of Inertia       =     0.33        Equ. gravity  m/s^2   = 3.701     
  Atmos. pressure (bar) = < 5x10^-15      Max. angular diam.    = 11.0"   
  Mean Temperature (K)  = 440             Visual mag. V(1,0)    = -0.42 
  Obliquity to orbit[1] =  2.11' +/- 0.1' Hill's sphere rad. Rp = 94.4 
  Sidereal orb. per.    =  0.2408467 y    Mean Orbit vel.  km/s = 47.362 
  Sidereal orb. per.    = 87.969257  d    Escape vel. km/s      =  4.435
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         14462       6278        9126
  Maximum Planetary IR (W/m^2)   12700       5500        8000
  Minimum Planetary IR (W/m^2)   6           6           6
*******************************************************************************


*******************************************************************************
Ephemeris / API_USER Wed Sep  9 03:29:50 2026 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mercury (199)                   {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1900-Jan-01 12:00:00.0000 UT      
Stop  time      : A.D. 2099-Dec-31 12:00:00.0000 UT      
Step-size       : 129600 minutes
*******************************************************************************
Target pole/equ : IAU_MERCURY                     {West-longitude positive}
Target radii    : 2440.53, 2440.53, 2438.26 km    {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6378.137             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
Calendar mode   : Gregorian
EOP file        : eop.260908.p261205                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-SEP-08. PREDICTS-> 2026-DEC-04
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*********************************************************************************************************
 Date__(UT)__HR:MN:SC.fff, Date_________JDUT, , ,            delta,     deldot,     ObsEcLon,   ObsEcLat,
*********************************************************************************************************
$$SOE
 1900-Jan-01 12:00:00.000, 2415021.000000000, , , 1.15056092663608, 29.1558441,  259.6392831,  1.0559217,
 1900-Apr-01 12:00:00.000, 2415111.000000000, , , 0.60570063407021,  8.9873958,  358.3261538,  1.5066165,
 1900-Jun-30 12:00:00.000, 2415201.000000000, , , 0.89982549073181,-28.5002839,  123.8214447,  0.6630169,
 1900-Sep-28 12:00:00.000, 2415291.000000000, , , 1.38410730288763, -7.2682547,  196.1792570,  0.1970445,
 1900-Dec-27 12:00:00.000, 2415381.000000000, , , 1.33348479764223, 17.8045090,  260.8893939, -0.0414596,
 1901-Mar-27 12:00:00.000, 2415471.000000000, , , 0.76985982422765, 24.0802338,  339.9558294, -0.4981175,
 1901-Jun-25 12:00:00.000, 2415561.000000000, , , 0.68103569172954,-22.5141234,  115.1791501, -1.0370337,
 1901-Sep-23 12:00:00.000, 2415651.000000000, , , 1.26767186332818,-17.2908837,  199.2368820, -0.8042716,
 1901-Dec-22 12:00:00.000, 2415741.000000000, , , 1.43199507511567,  6.0317266,  263.8829058, -0.9225860,
 1902-Mar-22 12:00:00.000, 2415831.000000000, , , 0.98990285905966, 24.5328064,  333.8142637, -1.6235981,
 1902-Jun-20 12:00:00.000, 2415921.000000000, , , 0.55724162980787, -3.2090672,   93.2879123, -3.3638123,
 1902-Sep-18 12:00:00.000, 2416011.000000000, , , 1.08355703367800,-24.5936262,  199.8738506, -1.9540073,
 1902-Dec-17 12:00:00.000, 2416101.000000000, , , 1.44005798187270, -5.9866631,  267.4235184, -1.6215342,
 1903-Mar-17 12:00:00.000, 2416191.000000000, , , 1.18757104700791, 19.1903056,  333.8473168, -2.1253165,
 1903-Jun-15 12:00:00.000, 2416281.000000000, , , 0.62405585290316, 20.8993631,   67.5429125, -4.2983902,
 1903-Sep-13 12:00:00.000, 2416371.000000000, , , 0.86147271179651,-27.1720110,  195.4727522, -3.2534296,
 1903-Dec-12 12:00:00.000, 2416461.000000000, , , 1.35430852519289,-18.8287606,  270.7625203, -2.1294401,
 1904-Mar-11 12:00:00.000, 2416551.000000000, , , 1.32518024852886, 10.0693907,  336.9894188, -2.2067378,
 1904-Jun-09 12:00:00.000, 2416641.000000000, , , 0.83269126225373, 32.2430813,   54.6679803, -3.5079943,
 1904-Sep-07 12:00:00.000, 2416731.000000000, , , 0.66978210183406,-15.6178637,  180.1812113, -4.2841632,
 1904-Dec-06 12:00:00.000, 2416821.000000000, , , 1.17424791421752,-32.2821907,  272.6643613, -2.3541910,
 1905-Mar-06 12:00:00.000, 2416911.000000000, , , 1.37289590135102, -3.8494404,  341.9245232, -1.9000940,
 1905-Jun-04 12:00:00.000, 2417001.000000000, , , 1.07334166469858, 32.1308249,   52.7456296, -2.2348701,
 1905-Sep-02 12:00:00.000, 2417091.000000000, , , 0.65758413829548, 20.1940031,  153.1144867, -3.2452371,
 1905-Dec-01 12:00:00.000, 2417181.000000000, , , 0.91826754313202,-40.6949746,  269.5603666, -1.9769756,
 1906-Mar-01 12:00:00.000, 2417271.000000000, , , 1.29783499491377,-24.0749050,  347.5953638, -1.1153883,
