*******************************************************************************
 Revised: July 08, 2026               Neptune                               899
 
 PHYSICAL DATA:
  Mass x10^24 (kg)      = 102.409         Density (g/cm^3)       =  1.638
  Equat. radius (1 bar) = 24766+-15 km    Volume, 10^10 km^3     = 6254     
  Vol. mean radius (km) = 24624+-21       Polar radius (km)      = 24342+-30
  Geometric Albedo      = 0.41            Flattening             =  0.0171
  Sid. rot. period (III)= 16.11+-0.01 hr  Sid. rot. rate (rad/s) =  0.000108338 
  Mean solar day, h     =~16.11 h         
  GM (km^3/s^2)         = 6835099.97      GM 1-sigma (km^3/s^2)  = +-10 
  Equ. grav, ge (m/s^2) = 11.15           Pol. grav, gp (m/s^2)  = 11.41+-0.03
  Visual magnitude V(1,0)= -6.87
  Vis. mag. (opposition)=  +7.84          Obliquity to orbit     = 28.32 deg
  Sidereal orbit period = 164.788501027 y Sidereal orbit period  = 60189 d
  Mean daily motion     = 0.006020076dg/d Mean orbit velocity    =  5.43 km/s 
  Atmos. temp. (1 bar)  =  72+-2 K        Escape speed (1 bar)  =  23.5 km/s     
  Aroche(ice)/Rp        =  2.98           Hill's sphere rad., Rp = 4700
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1.54        1.49        1.51
  Maximum Planetary IR (W/m^2)   0.52        0.52        0.52
  Minimum Planetary IR (W/m^2)   0.52        0.52        0.52
*******************************************************************************


*******************************************************************************
Ephemeris / API_USER Wed Sep  9 03:30:02 2026 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Neptune (899)                   {source: nep098_merged}
Center body name: Earth (399)                     {source: nep098_merged}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1900-Jan-01 12:00:00.0000 UT      
Stop  time      : A.D. 2099-Dec-31 12:00:00.0000 UT      
Step-size       : 129600 minutes
*******************************************************************************
Target pole/equ : IAU_NEPTUNE                     {West-longitude positive}
Target radii    : 24764.0, 24764.0, 24341.0 km    {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6378.137             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: nep098_merged}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
Calendar mode   : Gregorian
EOP file        : eop.260908.p261205                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-SEP-08. PREDICTS-> 2026-DEC-04
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*********************************************************************************************************
 Date__(UT)__HR:MN:SC.fff, Date_________JDUT, , ,            delta,     deldot,     ObsEcLon,   ObsEcLat,
*********************************************************************************************************
$$SOE
 1900-Jan-01 12:00:00.000, 2415021.000000000, , , 28.9225197002309,  8.0620271,   85.2050798, -1.2994826,
 1900-Apr-01 12:00:00.000, 2415111.000000000, , , 30.1477301153583, 28.5035579,   84.4125972, -1.2348900,
 1900-Jun-30 12:00:00.000, 2415201.000000000, , , 30.8710175787987, -5.5236559,   87.1649873, -1.1941448,
 1900-Sep-28 12:00:00.000, 2415291.000000000, , , 29.7603657135053,-29.3286046,   89.2568456, -1.2263873,
 1900-Dec-27 12:00:00.000, 2415381.000000000, , , 28.9025441666296,  4.1219699,   87.6444185, -1.2502228,
 1901-Mar-27 12:00:00.000, 2415471.000000000, , , 30.0288842358060, 29.3439986,   86.5486353, -1.1910954,
 1901-Jun-25 12:00:00.000, 2415561.000000000, , , 30.8943218855260, -1.9779143,   89.1176267, -1.1455203,
 1901-Sep-23 12:00:00.000, 2415651.000000000, , , 29.8954308825319,-29.4572789,   91.4541490, -1.1710790,
 1901-Dec-22 12:00:00.000, 2415741.000000000, , , 28.9012095835662,  0.0916864,   90.0867554, -1.1983538,
 1902-Mar-22 12:00:00.000, 2415831.000000000, , , 29.9087810198996, 29.7154639,   88.7141236, -1.1452878,
 1902-Jun-20 12:00:00.000, 2415921.000000000, , , 30.9035189498345,  1.6092840,   91.0677318, -1.0958237,
 1902-Sep-18 12:00:00.000, 2416011.000000000, , , 30.0314689785342,-29.1123109,   93.6190747, -1.1145579,
 1902-Dec-17 12:00:00.000, 2416101.000000000, , , 28.9186156611120, -3.9454522,   92.5284667, -1.1439980,
 1903-Mar-17 12:00:00.000, 2416191.000000000, , , 29.7894775929458, 29.6093268,   90.9109362, -1.0973963,
 1903-Jun-15 12:00:00.000, 2416281.000000000, , , 30.8984920485249,  5.1784684,   93.0193676, -1.0450179,
 1903-Sep-13 12:00:00.000, 2416371.000000000, , , 30.1663788629253,-28.3170470,   95.7537564, -1.0569651,
 1903-Dec-12 12:00:00.000, 2416461.000000000, , , 28.9543181270063, -7.8975871,   94.9653441, -1.0873229,
 1904-Mar-11 12:00:00.000, 2416551.000000000, , , 29.6727903269968, 29.0108182,   93.1405383, -1.0473960,
 1904-Jun-09 12:00:00.000, 2416641.000000000, , , 30.8789206139813,  8.6655127,   94.9769367, -0.9931359,
 1904-Sep-07 12:00:00.000, 2416731.000000000, , , 30.2975315889838,-27.0838412,   97.8604297, -0.9984376,
 1904-Dec-06 12:00:00.000, 2416821.000000000, , , 29.0072149684774,-11.6879736,   97.3937740, -1.0285610,
 1905-Mar-06 12:00:00.000, 2416911.000000000, , , 29.5600727077935, 27.9055068,   95.4030808, -0.9952996,
 1905-Jun-04 12:00:00.000, 2417001.000000000, , , 30.8444150068054, 12.0207577,   96.9443328, -0.9401465,
 1905-Sep-02 12:00:00.000, 2417091.000000000, , , 30.4222255140244,-25.4271864,   99.9407183, -0.9391222,
 1905-Dec-01 12:00:00.000, 2417181.000000000, , , 29.0758140773106,-15.2488950,   99.8093920, -0.9679656,
 1906-Mar-01 12:00:00.000, 2417271.000000000, , , 29.4529169528883, 26.3000557,   97.6975768, -0.9411322,
 1906-May-30 12:00:00.000, 2417361.000000000, , , 30.7950674143766, 15.2040272,   98.9244955, -0.8860485,
