*******************************************************************************
 Revised: Apr 03, 2024              134340 Pluto                            999
 
 Pre-computed solution PLU060/DE440. Fit to post New Horizons encounter and
 Gaia data through 2023. For discussion, see ...

 M. Brozovic, R. A. Jacobson (2024) "Post-New Horizons orbits and masses
 for the satellites of Pluto". AJ (in press)

 PHYSICAL DATA (updated 2021-Jun-07; Mc= Charon mass, radius is IAU 2015):
  Mass x10^22 (kg)      = 1.307+-0.018    Volume, 10^10 km^3    = 0.697
  GM (planet) km^3/s^2  = 869.326         Density (R=1195 km)   = 1.86 g/cm^3
  GM 1-sigma, km^3/s^2  = 0.4             Surface gravity       = 0.611 m/s^2 
  Vol. mean radius (km) = 1188.3+-1.6     Mass ratio (Mc/Mp)    = 0.122
  Sidereal rot. period  = 153.29335198 h  Sid. rot. rat, rad/s  = 0.0000113856
  Mean solar day, h     = 153.2820        Mean orbit velocity   = 4.67 km/s
  Sidereal orbit period = 249.58932 yr    Escape speed, km/s    = 1.21            
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1.56        0.56        0.88
  Maximum Planetary IR (W/m^2)   0.8         0.3         0.5
  Minimum Planetary IR (W/m^2)   0.8         0.3         0.5
*******************************************************************************


*******************************************************************************
Ephemeris / API_USER Wed Sep  9 03:30:04 2026 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Pluto (999)                     {source: plu060_merged}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1900-Jan-01 12:00:00.0000 UT      
Stop  time      : A.D. 2099-Dec-31 12:00:00.0000 UT      
Step-size       : 129600 minutes
*******************************************************************************
Target pole/equ : IAU_PLUTO                       {East-longitude positive}
Target radii    : 1188.3, 1188.3, 1188.3 km       {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6378.137             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: plu060_merged}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
Calendar mode   : Gregorian
EOP file        : eop.260908.p261205                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-SEP-08. PREDICTS-> 2026-DEC-04
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*********************************************************************************************************
 Date__(UT)__HR:MN:SC.fff, Date_________JDUT, , ,            delta,     deldot,     ObsEcLon,   ObsEcLat,
*********************************************************************************************************
$$SOE
 1900-Jan-01 12:00:00.000, 2415021.000000000, , , 46.0824906337249, 12.1528748,   75.2427825, -9.7758455,
 1900-Apr-01 12:00:00.000, 2415111.000000000, , , 47.3562993196866, 25.8415504,   74.8918944, -9.4439977,
 1900-Jun-30 12:00:00.000, 2415201.000000000, , , 47.8241477536325,-11.1771531,   76.7030218, -9.2832395,
 1900-Sep-28 12:00:00.000, 2415291.000000000, , , 46.5559539518506,-28.4354530,   77.6777206, -9.4694436,
 1900-Dec-27 12:00:00.000, 2415381.000000000, , , 45.9058395303557,  9.1005496,   76.3430515, -9.5363700,
 1901-Mar-27 12:00:00.000, 2415471.000000000, , , 47.1227101411703, 27.0431704,   75.8149142, -9.2204602,
 1901-Jun-25 12:00:00.000, 2415561.000000000, , , 47.7211574326884, -8.3959839,   77.5577118, -9.0354294,
 1901-Sep-23 12:00:00.000, 2415651.000000000, , , 46.5204401284610,-29.2693510,   78.6917329, -9.2006881,
 1901-Dec-22 12:00:00.000, 2415741.000000000, , , 45.7378716136825,  5.8740611,   77.4530840, -9.2898689,
 1902-Mar-22 12:00:00.000, 2415831.000000000, , , 46.8824872743878, 27.9541282,   76.7550284, -8.9926088,
 1902-Jun-20 12:00:00.000, 2415921.000000000, , , 47.6053024945492, -5.4748449,   78.4131243, -8.7856512,
 1902-Sep-18 12:00:00.000, 2416011.000000000, , , 46.4848195083437,-29.7152657,   79.6965630, -8.9282121,
 1902-Dec-17 12:00:00.000, 2416101.000000000, , , 45.5789103369289,  2.6165206,   78.5724850, -9.0363124,
 1903-Mar-17 12:00:00.000, 2416191.000000000, , , 46.6366856669522, 28.5993169,   77.7139027, -8.7600966,
 1903-Jun-15 12:00:00.000, 2416281.000000000, , , 47.4761609247161, -2.4857710,   79.2712730, -8.5338361,
 1903-Sep-13 12:00:00.000, 2416371.000000000, , , 46.4477581878480,-29.8716043,   80.6931768, -8.6523797,
 1903-Dec-12 12:00:00.000, 2416461.000000000, , , 45.4288486231570, -0.7363794,   79.7000534, -8.7759592,
 1904-Mar-11 12:00:00.000, 2416551.000000000, , , 46.3860159616670, 28.8437471,   78.6931522, -8.5227946,
 1904-Jun-09 12:00:00.000, 2416641.000000000, , , 47.3328378718424,  0.4625615,   80.1341884, -8.2800269,
 1904-Sep-07 12:00:00.000, 2416731.000000000, , , 46.4072246805625,-29.7283708,   81.6823525, -8.3735889,
 1904-Dec-06 12:00:00.000, 2416821.000000000, , , 45.2870298314485, -4.0737854,   80.8350233, -8.5090581,
 1905-Mar-06 12:00:00.000, 2416911.000000000, , , 46.1307970861172, 28.7759523,   79.6934806, -8.2804793,
 1905-Jun-04 12:00:00.000, 2417001.000000000, , , 47.1744251679842,  3.4611142,   81.0037095, -8.0240826,
 1905-Sep-02 12:00:00.000, 2417091.000000000, , , 46.3612347228003,-29.1874671,   82.6640517, -8.0921130,
 1905-Dec-01 12:00:00.000, 2417181.000000000, , , 45.1528304026228, -7.3244321,   81.9757625, -8.2358624,
