*******************************************************************************
 Revised: January 26, 2022             Saturn                               699
 
 PHYSICAL DATA:
  Mass x10^26 (kg)      = 5.6834          Density (g/cm^3)       =  0.687+-.001
  Equat. radius (1 bar) = 60268+-4 km     Polar radius (km)      = 54364+-10
  Vol. Mean Radius (km) = 58232+-6        Flattening             =  0.09796
  Geometric Albedo      = 0.47            Rocky core mass (Mc/M) =  0.1027
  Sid. rot. period (III)= 10h 39m 22.4s   Sid. rot. rate (rad/s) =  0.000163785 
  Mean solar day, hrs   =~10.656         
  GM (km^3/s^2)         = 37931206.234    GM 1-sigma (km^3/s^2)  = +- 98
  Equ. grav, ge (m/s^2) = 10.44           Pol. grav, gp (m/s^2)  = 12.14+-0.01
  Vis. magnitude V(1,0) = -8.88          
  Vis. mag. (opposition)= +0.67           Obliquity to orbit     = 26.73 deg
  Sidereal orbit period = 29.447498 yr    Sidereal orbit period  = 10755.698 d
  Mean daily motion     = 0.0334979 deg/d Mean orbit velocity    =  9.68 km/s
  Atmos. temp. (1 bar)  = 134+-4 K        Escape speed, km/s    =  35.5          
  Aroche(ice)/Rp        =  2.71           Hill's sphere rad. Rp  = 1100
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         16.8        13.6        15.1
  Maximum Planetary IR (W/m^2)    4.7         4.5         4.6
  Minimum Planetary IR (W/m^2)    4.7         4.5         4.6
*******************************************************************************


*******************************************************************************
Ephemeris / API_USER Wed Sep  9 03:29:58 2026 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Saturn (699)                    {source: sat441l}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1900-Jan-01 12:00:00.0000 UT      
Stop  time      : A.D. 2099-Dec-31 12:00:00.0000 UT      
Step-size       : 129600 minutes
*******************************************************************************
Target pole/equ : IAU_SATURN                      {West-longitude positive}
Target radii    : 60268.0, 60268.0, 54364.0 km    {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6378.137             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
Calendar mode   : Gregorian
EOP file        : eop.260908.p261205                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-SEP-08. PREDICTS-> 2026-DEC-04
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*********************************************************************************************************
 Date__(UT)__HR:MN:SC.fff, Date_________JDUT, , ,            delta,     deldot,     ObsEcLon,   ObsEcLat,
*********************************************************************************************************
$$SOE
 1900-Jan-01 12:00:00.000, 2415021.000000000, , , 11.0228212890434, -6.5080806,  267.7748827,  1.0073267,
 1900-Apr-01 12:00:00.000, 2415111.000000000, , , 9.90823995567965,-28.7355631,  274.9029819,  1.0124939,
 1900-Jun-30 12:00:00.000, 2415201.000000000, , , 9.05996069100698,  3.4224438,  271.2497639,  0.9865616,
 1900-Sep-28 12:00:00.000, 2415291.000000000, , , 10.1233148689122, 28.6000281,  268.9718119,  0.7727845,
 1900-Dec-27 12:00:00.000, 2415381.000000000, , , 11.0501211351933,  0.8368586,  277.1711460,  0.6053093,
 1901-Mar-27 12:00:00.000, 2415471.000000000, , , 10.1813083475373,-28.5177728,  285.6778821,  0.5439161,
 1901-Jun-25 12:00:00.000, 2415561.000000000, , , 9.05871309985121, -5.3974335,  283.8493468,  0.4829703,
 1901-Sep-23 12:00:00.000, 2415651.000000000, , , 9.82912811407306, 28.2833304,  279.8508475,  0.3257974,
 1901-Dec-22 12:00:00.000, 2415741.000000000, , , 10.9846981644866,  8.1462811,  286.5926406,  0.1839680,
 1902-Mar-22 12:00:00.000, 2415831.000000000, , , 10.4202421094725,-26.1880646,  296.0779587,  0.0801139,
 1902-Jun-20 12:00:00.000, 2415921.000000000, , , 9.12026058436343,-13.6979735,  296.3967848, -0.0386571,
 1902-Sep-18 12:00:00.000, 2416011.000000000, , , 9.52603021328490, 25.6567190,  291.2367545, -0.1616337,
 1902-Dec-17 12:00:00.000, 2416101.000000000, , , 10.8290585285692, 14.9779424,  296.1626886, -0.2514680,
 1903-Mar-17 12:00:00.000, 2416191.000000000, , , 10.6071750698839,-22.0150448,  306.2030777, -0.3675851,
 1903-Jun-15 12:00:00.000, 2416281.000000000, , , 9.23757015590754,-20.6756305,  308.7888540, -0.5484234,
 1903-Sep-13 12:00:00.000, 2416371.000000000, , , 9.23766776260985, 20.7271735,  303.1876288, -0.6735401,
 1903-Dec-12 12:00:00.000, 2416461.000000000, , , 10.5907765559307, 20.8929673,  306.0060777, -0.6950687,
 1904-Mar-11 12:00:00.000, 2416551.000000000, , , 10.7280173010642,-16.3524381,  316.1582582, -0.7906298,
 1904-Jun-09 12:00:00.000, 2416641.000000000, , , 9.39809512255156,-25.7030378,  320.9464549, -1.0196156,
 1904-Sep-07 12:00:00.000, 2416731.000000000, , , 8.98865869958134, 13.7353661,  315.7137252, -1.1860033,
 1904-Dec-06 12:00:00.000, 2416821.000000000, , , 10.2822516263110, 25.4240247,  316.2507026, -1.1389388,
 1905-Mar-06 12:00:00.000, 2416911.000000000, , , 10.7723268314224, -9.5746654,  326.0490041, -1.1817587,
 1905-Jun-04 12:00:00.000, 2417001.000000000, , , 9.58485909183782,-28.4075588,  332.8275730, -1.4312799,
 1905-Sep-02 12:00:00.000, 2417091.000000000, , , 8.80146234804895,  5.2031740,  328.7627995, -1.6672394,
 1905-Dec-01 12:00:00.000, 2417181.000000000, , , 9.92084227912253, 28.1284855,  327.0288968, -1.5715414,
 1906-Mar-01 12:00:00.000, 2417271.000000000, , , 10.7332474903493, -2.1106998,  335.9862498, -1.5340632,
 1906-May-30 12:00:00.000, 2417361.000000000, , , 9.77814779961097,-28.6684163,  344.4302552, -1.7689977,
