*******************************************************************************
 Revised: September 25, 2025           Uranus                               799
 
 PHYSICAL DATA:
  Mass x10^24 (kg)      = 86.813          Density (g/cm^3)       =  1.271
  Equat. radius (1 bar) = 25559+-4 km     Polar radius (km)      = 24973+-20
  Vol. Mean Radius (km) = 25362+-12       Flattening             =  0.02293
  Geometric Albedo      = 0.51
  Sid. rot. period (III)= 17.24+-0.01 h   Sid. rot. rate (rad/s) = -0.000101237
  Mean solar day, h     =~17.24           Rocky core mass (Mc/M) =  0.0012        
  GM (km^3/s^2)         = 5793950.6103    GM 1-sigma (km^3/s^2)  = +-4.3 
  Equ. grav, ge (m/s^2) =  8.87           Pol. grav, gp (m/s^2)  =   9.19+-0.02
  Visual magnitude V(1,0)= -7.11
  Vis. mag. (opposition)=  +5.52          Obliquity to orbit     = 97.77 deg
  Sidereal orbit period = 84.0120465 y    Sidereal orbit period  = 30685.4 d
  Mean daily motion     = 0.01176904 dg/d Mean orbit velocity    =  6.8 km/s
  Atmos. temp. (1 bar)  =  76+-2 K        Escape speed, km/s     =  21.3           
  Aroche(ice)/Rp        =  2.20           Hill's sphere rad., Rp = 2700
                                 Perihelion   Aphelion    Mean
  Solar Constant (W/m^2)         4.09         3.39        3.71
  Maximum Planetary IR (W/m^2)   0.72         0.55        0.63
  Minimum Planetary IR (W/m^2)   0.72         0.55        0.63
*******************************************************************************


*******************************************************************************
Ephemeris / API_USER Wed Sep  9 03:30:00 2026 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Uranus (799)                    {source: ura184_merged}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1900-Jan-01 12:00:00.0000 UT      
Stop  time      : A.D. 2099-Dec-31 12:00:00.0000 UT      
Step-size       : 129600 minutes
*******************************************************************************
Target pole/equ : IAU_URANUS                      {East-longitude positive}
Target radii    : 25559.0, 25559.0, 24973.0 km    {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6378.137             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
Calendar mode   : Gregorian
EOP file        : eop.260908.p261205                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-SEP-08. PREDICTS-> 2026-DEC-04
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*********************************************************************************************************
 Date__(UT)__HR:MN:SC.fff, Date_________JDUT, , ,            delta,     deldot,     ObsEcLon,   ObsEcLat,
*********************************************************************************************************
$$SOE
 1900-Jan-01 12:00:00.000, 2415021.000000000, , , 19.8335481327694,-14.8838780,  250.1667884,  0.0633404,
 1900-Apr-01 12:00:00.000, 2415111.000000000, , , 18.5055852687512,-25.6876147,  252.3887928,  0.0530094,
 1900-Jun-30 12:00:00.000, 2415201.000000000, , , 18.1289912491020, 14.2622689,  249.3550439,  0.0388861,
 1900-Sep-28 12:00:00.000, 2415291.000000000, , , 19.4553921811077, 26.5681810,  249.1867825,  0.0220499,
 1900-Dec-27 12:00:00.000, 2415381.000000000, , , 19.9716993792305,-10.6033986,  254.0491584,  0.0076552,
 1901-Mar-27 12:00:00.000, 2415471.000000000, , , 18.7226690223060,-27.6704603,  256.8898749, -0.0066061,
 1901-Jun-25 12:00:00.000, 2415561.000000000, , , 18.1278381193666,  9.7118765,  254.1366785, -0.0220670,
 1901-Sep-23 12:00:00.000, 2415651.000000000, , , 19.3674985493346, 28.2964610,  253.3110603, -0.0349118,
 1901-Dec-22 12:00:00.000, 2415741.000000000, , , 20.0846697263204, -6.0592943,  257.8786880, -0.0474142,
 1902-Mar-22 12:00:00.000, 2415831.000000000, , , 18.9477072471013,-28.8621977,  261.2768285, -0.0648027,
 1902-Jun-20 12:00:00.000, 2415921.000000000, , , 18.1529269508576,  4.8765373,  258.9120887, -0.0827880,
 1902-Sep-18 12:00:00.000, 2416011.000000000, , , 19.2717860013664, 29.2989951,  257.4793990, -0.0922408,
 1902-Dec-17 12:00:00.000, 2416101.000000000, , , 20.1712999348583, -1.3741172,  261.6664220, -0.1017164,
 1903-Mar-17 12:00:00.000, 2416191.000000000, , , 19.1758586380879,-29.2562383,  265.5491733, -0.1212167,
 1903-Jun-15 12:00:00.000, 2416281.000000000, , , 18.2049891364368, -0.0883520,  263.6648845, -0.1426388,
 1903-Sep-13 12:00:00.000, 2416371.000000000, , , 19.1722601707999, 29.5485865,  261.6940709, -0.1496210,
 1903-Dec-12 12:00:00.000, 2416461.000000000, , , 20.2312467670966,  3.3239585,  265.4228752, -0.1551269,
 1904-Mar-11 12:00:00.000, 2416551.000000000, , , 19.4025671729438,-28.8601894,  269.7093363, -0.1756000,
 1904-Jun-09 12:00:00.000, 2416641.000000000, , , 18.2842477573872, -5.0195121,  268.3786790, -0.2010139,
 1904-Sep-07 12:00:00.000, 2416731.000000000, , , 19.0735083311001, 29.0225007,  265.9561594, -0.2066802,
 1904-Dec-06 12:00:00.000, 2416821.000000000, , , 20.2650649586572,  7.9212574,  269.1588983, -0.2075764,
 1905-Mar-06 12:00:00.000, 2416911.000000000, , , 19.6238761035458,-27.6950557,  273.7618268, -0.2277718,
 1905-Jun-04 12:00:00.000, 2417001.000000000, , , 18.3902658891935, -9.7688484,  273.0393484, -0.2573168,
 1905-Sep-02 12:00:00.000, 2417091.000000000, , , 18.9801764155060, 27.7146317,  270.2652288, -0.2630421,
 1905-Dec-01 12:00:00.000, 2417181.000000000, , , 20.2738951261157, 12.3119979,  272.8864523, -0.2589882,
 1906-Mar-01 12:00:00.000, 2417271.000000000, , , 19.8358264468569,-25.8068555,  277.7141900, -0.2776213,
 1906-May-30 12:00:00.000, 2417361.000000000, , , 18.5215470788601,-14.2070876,  277.6342991, -0.3110815,
