*******************************************************************************
 Revised: April 12, 2021                Venus                           299 / 2
 
 PHYSICAL DATA (updated 2020-Oct-19):
  Vol. Mean Radius (km) =  6051.84+-0.01 Density (g/cm^3)      =  5.204
  Mass x10^23 (kg)      =    48.685      Volume (x10^10 km^3)  = 92.843
  Sidereal rot. period  =   243.018484 d Sid. Rot. Rate (rad/s)= -0.00000029924
  Mean solar day        =   116.7490 d   Equ. gravity  m/s^2   =  8.870
  Mom. of Inertia       =     0.33       Core radius (km)      = ~3200
  Geometric Albedo      =     0.65       Potential Love # k2   = ~0.25
  GM (km^3/s^2)         = 324858.592     Equatorial Radius, Re = 6051.893 km
  GM 1-sigma (km^3/s^2) =    +-0.006     Mass ratio (Sun/Venus)= 408523.72
  Atmos. pressure (bar) =  90            Max. angular diam.    =   60.2"
  Mean Temperature (K)  = 735            Visual mag. V(1,0)    =   -4.40
  Obliquity to orbit    = 177.3 deg      Hill's sphere rad.,Rp =  167.1
  Sidereal orb. per., y =   0.61519726   Orbit speed, km/s     =   35.021
  Sidereal orb. per., d = 224.70079922   Escape speed, km/s    =   10.361
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         2759         2614       2650
  Maximum Planetary IR (W/m^2)    153         153         153
  Minimum Planetary IR (W/m^2)    153         153         153
*******************************************************************************


*******************************************************************************
Ephemeris / API_USER Wed Sep  9 03:29:52 2026 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Venus (299)                     {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1900-Jan-01 12:00:00.0000 UT      
Stop  time      : A.D. 2099-Dec-31 12:00:00.0000 UT      
Step-size       : 129600 minutes
*******************************************************************************
Target pole/equ : IAU_VENUS                       {East-longitude positive}
Target radii    : 6051.8, 6051.8, 6051.8 km       {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6378.137             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
Calendar mode   : Gregorian
EOP file        : eop.260908.p261205                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-SEP-08. PREDICTS-> 2026-DEC-04
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*********************************************************************************************************
 Date__(UT)__HR:MN:SC.fff, Date_________JDUT, , ,            delta,     deldot,     ObsEcLon,   ObsEcLat,
*********************************************************************************************************
$$SOE
 1900-Jan-01 12:00:00.000, 2415021.000000000, , , 1.46241011797501, -7.5852012,  306.9960853, -1.6864262,
 1900-Apr-01 12:00:00.000, 2415111.000000000, , , 0.92751270677365,-12.8917329,   54.8420135,  2.0920972,
 1900-Jun-30 12:00:00.000, 2415201.000000000, , , 0.29947544762397, -4.0916588,  110.4375373, -2.4701194,
 1900-Sep-28 12:00:00.000, 2415291.000000000, , , 0.78801081449798, 13.0829707,  139.2274627, -1.0420615,
 1900-Dec-27 12:00:00.000, 2415381.000000000, , , 1.37581892486918,  8.9374824,  245.1708729,  1.4379929,
 1901-Mar-27 12:00:00.000, 2415471.000000000, , , 1.69609119997516,  3.1474022,  357.2051280, -1.4545613,
 1901-Jun-25 12:00:00.000, 2415561.000000000, , , 1.65103542078019, -5.2797355,  108.1005600,  1.1897604,
 1901-Sep-23 12:00:00.000, 2415651.000000000, , , 1.19287269597370,-11.4300582,  217.1829298, -0.6524136,
 1901-Dec-22 12:00:00.000, 2415741.000000000, , , 0.54276381734013,-12.6604459,  316.0211495, -1.4408321,
 1902-Mar-22 12:00:00.000, 2415831.000000000, , , 0.42610994824902, 11.9219046,  321.5035361,  4.5886419,
 1902-Jun-20 12:00:00.000, 2415921.000000000, , , 1.11624542786889, 12.3842833,   48.7202267, -2.2101483,
 1902-Sep-18 12:00:00.000, 2416011.000000000, , , 1.59974642350724,  5.6822487,  156.4099428,  1.2431806,
 1902-Dec-17 12:00:00.000, 2416101.000000000, , , 1.70423754470463, -1.3258930,  269.0811332, -0.4794681,
 1903-Mar-17 12:00:00.000, 2416191.000000000, , , 1.47504770860648, -7.7154131,   21.4325290, -0.5035076,
 1903-Jun-15 12:00:00.000, 2416281.000000000, , , 0.89736810344078,-13.7446524,  126.9477006,  2.1499588,
 1903-Sep-13 12:00:00.000, 2416371.000000000, , , 0.28608089018915, -2.5339468,  176.4235420, -8.6537320,
 1903-Dec-12 12:00:00.000, 2416461.000000000, , , 0.78635704742473, 12.9604754,  213.1393221,  2.5599800,
 1904-Mar-11 12:00:00.000, 2416551.000000000, , , 1.38014348450037,  9.4044004,  319.9980351, -0.6200532,
 1904-Jun-09 12:00:00.000, 2416641.000000000, , , 1.71383536784777,  2.7440290,   70.2933815, -0.4102163,
 1904-Sep-07 12:00:00.000, 2416731.000000000, , , 1.62539483415619, -5.7667114,  181.1406630,  1.1710327,
 1904-Dec-06 12:00:00.000, 2416821.000000000, , , 1.18492517430337,-10.6657445,  291.6792042, -2.0807260,
 1905-Mar-06 12:00:00.000, 2416911.000000000, , , 0.55153537220064,-12.8024505,   30.2214875,  3.6938858,
 1905-Jun-04 12:00:00.000, 2417001.000000000, , , 0.45737137317471, 12.5280158,   33.0769663, -1.9572653,
 1905-Sep-02 12:00:00.000, 2417091.000000000, , , 1.14258377892560, 11.6776547,  120.7626321, -0.5802584,
 1905-Dec-01 12:00:00.000, 2417181.000000000, , , 1.59265428442946,  5.4201670,  230.7196457,  1.1786645,
 1906-Mar-01 12:00:00.000, 2417271.000000000, , , 1.71274452252602, -0.8566017,  343.6976747, -1.4384722,
